customer_id,customer_zip_code_prefix,customer_city,customer_state
I74lXDOfoq São Paulo,6020,Goiânia,Goiás
47TuLHF2s7X5,23020,viamao,Rio Grande do Sul
dQ0dqI8Qwlj8,75094,Campinas, São Paulo
iQCmWhNkIczb,89284,Santana de Parnaíba, São Paulo
Dp2g6JH8Tocantins5Z,39810,aripuana,Mato Grosso
s18Fn5Tz7Jml,65790,São José do Rio Preto, São Paulo
9rXAwNe0G0m5,25245,sao benTocantins do sul,Santa Catarina
o3yCAmapáMIPtLj,97560, São Paulo, São Paulo
PHGrixjXAt4t,32430,Barueri, São Paulo
K6lNXbhXbvwg,8571,divinopolis,Minas Gerais
WaitNYVtRT2x,8664, São Paulo, São Paulo
WDjs7f3Yv8Va,26155, São Paulo, São Paulo
ViMUFfeZLwv5,60120,Rio de Janeiro,Rio de Janeiro
ZdAOMo São Paulo5YDg,73805,Guarulhos, São Paulo
jVsS0bHgLHcJ,75440,Palmas,Tocantins
D1KiQOWblWjh,45037,Presidente Prudente, São Paulo
I1orDozbJsZY,3953,Brasília,Distrito Federal
bincH34GAiat,13213,criciuma,Santa Catarina
J534NgM03SXi,33935,Guarulhos, São Paulo
11rzNuxGsM6E,7916,anapolis,Goiás
AJoqBQ1l9z0V,4747,juiz de fora,Minas Gerais
M5GoiásXy4LtmuO,9040,resende,Rio de Janeiro
eRIr8uMQixin,40390,salvador,Bahia
ZOgCiosZBHhF,62625,salvador,Bahia
Do7ckrlRk5rx,35488,santana do jacare,Minas Gerais
bjThJDPGWpGK,12120,curitiba,Paraná
x15nG700z7OG,95795, São Paulo, São Paulo
Xh2kQlpOqm8I,68195,jacutinga,Minas Gerais
gqBYWjnoUV7B,18900,Rio de Janeiro,Rio de Janeiro
kmlqsg9Gk5uQ,68140,Taboão da Serra, São Paulo
smZvvNLvV8Ez,9407,santa cruz do sul,Rio Grande do Sul
eOL1qbT6GIl5,74150,resende,Rio de Janeiro
8CH2KOo6b3iE,4923,Ribeirão Preto, São Paulo
PGfqqeXWFN4T,75600,aracati,Ceará
f8I8oYaA7t7w,85025,Vargem Grande do Sul, São Paulo
4LCk55VNuZB7,53425, São Paulo, São Paulo
kuB5S1kHsjKK,6220,porTocantins alegre,Rio Grande do Sul
QGN0QrmHtymT,18108,belo horizonte,Minas Gerais
l7nqhW5os9MR,12924,Santo André, São Paulo
sQnzUN1MPa8t,15900,Limeira, São Paulo
S728b0DhidXp,1308,capelinha,Minas Gerais
7HMxp8E7C2sh,4721,Sorocaba, São Paulo
LAEzF0DIX9Ji,4564,mesquita,Rio de Janeiro
MzcqTnXLe10i,55410,Jundiaí, São Paulo
i41FdkGhLoWC,24940,correia pinTocantins,Santa Catarina
8H4jHVTcDgh3,93950, São Paulo, São Paulo
IYhLLNrleCkP,13617, São Paulo, São Paulo
JyQzFoxlhfxF,65077,sao luis,Maranhão 
sOlw163EqSSe,88485,sao jose,Santa Catarina
AZn6IjMeDt40,31530,formiga,Minas Gerais
yQ9oNz28zxfb,2565, São Paulo, São Paulo
Distrito Federals0ckTcmSGd,23898,Caieiras, São Paulo
q0PYd7G5N9MV,72150,recife,Pernambuco
BXCHoEYRBIqM,60742,pocos de caldas,Minas Gerais
jbTwou52qAzI,89982,Itaporanga, São Paulo
QsxVntH2qe6q,9760,garopaba,Santa Catarina
ARtFmdPvH6OX,36594,rio das ostras,Rio de Janeiro
sB1x80ZUOPiA,22010,Guarulhos, São Paulo
ll44jqfknrOb,98175, São Paulo, São Paulo
t1kuXerPhQiB,12305,juiz de fora,Minas Gerais
98aTnBilI6gC,98958,Presidente Prudente, São Paulo
IH6W6gExPS,44895, São Paulo, São Paulo
tuUud0RWr7f1,86800,Santo André, São Paulo
kIt2LC6KHkff,64047,Jandira, São Paulo
QfIM6BS6UQWw,24330,curitiba,Paraná
prSsfCeará0cuDh,42701,Capivari, São Paulo
u1tSwHWPaOmG,92440,São Bernardo do Campo, São Paulo
VkYTBg São Paulo4ahW,4742,camacari,Bahia
9hLk4KZPiauírdp,16013,montes claros,Minas Gerais
ZNkeoW0v2Yz5,57038,Osasco, São Paulo
bVEGh3nqaNyK,27655,ivaipora,Paraná
4nWN1nYcBUUM,1129, São Paulo, São Paulo
CJBe5YcVa8BV,13081,patrocinio,Minas Gerais
njO6UF6KC5oM,26584,Mendonça, São Paulo
vGbrlOwsJGNT,37517,telemaco borba,Paraná
kRrMY3t755nL,38182,joao pessoa,Paraíba
FB4qoCQtY78b,68580,maringa,Paraná
XUVgmhKGTlCU,39340,Rio de Janeiro,Rio de Janeiro
FRenfQXwKTr2,9619,Lins, São Paulo
qXd5XyJFHOOH,65950,ponta grossa,Paraná
KBYhryQMswGj,12324,araruama,Rio de Janeiro
InzL2EFfs1Z4,73015,faxinal,Paraná
TLcN4gqrngCZ,70383, São Paulo, São Paulo
ZXGtgz22ZuTc,11618,Olímpia, São Paulo
10CMmu85B1xh,3883,Guarulhos, São Paulo
950pNgLYvrUB,37466, São Paulo, São Paulo
GyQLgLcEsyyk,35685,cuiaba,Mato Grosso
R0hdk8rOTHCx,4565,Brasília,Distrito Federal
f2XW6ZIEWnk2,3374,Buritama, São Paulo
P101VTJljiqW,72510,cangucu,Rio Grande do Sul
oEEHeCpHvpTJ,18890, São Paulo, São Paulo
sQ58Z70GxzD1,44135,pinhalzinho,Santa Catarina
2wl1V2O532Ne,6887,juiz de fora,Minas Gerais
lkeyEiK1e5yg,2964,curitiba,Paraná
bCn2jXaQK8n2,3617,Brasília,Distrito Federal
PCtRlAlagoasJAqIy,28664,aracaju,Sergipe
GIo0gCA7DZwJ,46550, São Paulo, São Paulo
OZVsT3BLq9H2,12924,Santo André, São Paulo
j796RyTU4D9J,19200,barra do pirai,Rio de Janeiro
sNvreFY4xGGx,6236,Suzano, São Paulo
Of9TY1egrbYl,5162,Guarujá, São Paulo
rVpZ5iyUcDs1,3510,Goiásiana,Pernambuco
GCIHYuqgJO4m,7430,Taboão da Serra, São Paulo
UaYsJO1dP5iW,16902,Vinhedo, São Paulo
6qgZyqFsEr8W,2046,Piracicaba, São Paulo
mPVFphfpomAt,23062,macae,Rio de Janeiro
wtZTUGiZB7cc,52030,betim,Minas Gerais
qK7oy4s5YyXx,4202,Santo André, São Paulo
kLnTz5KGD1Rio Grande do Norte,91790,São João da Boa Vista, São Paulo
BDistrito FederalHue7TLPbA,95520,cocal,Piauí
pr9d47fsvAOA,9603,manhuacu,Minas Gerais
G1Bo4rTocantinsPOUV,68514,Rio de Janeiro,Rio de Janeiro
ntLORCsAAxkl,9974,Campinas, São Paulo
Wzt8Wnmh39R5,88865,Campinas, São Paulo
IbNmDM5pVSuW,60734,duque de caxias,Rio de Janeiro
2BDSGrKxGvBM,18217,betim,Minas Gerais
zzXJDr2XBrBa,40320,Americana, São Paulo
wL6AVErEnDEN,4853,São José do Rio Preto, São Paulo
MH8RBjpM8eLq,19015, São Paulo, São Paulo
DVWp3lrKeGtO,80310,Campinas, São Paulo
nwe6tWyEFgKX,30494,Itapeva, São Paulo
ZnWtfiYU2gmJ,90090, São Paulo, São Paulo
184l4HeebUUs,7438,tres laGoiásas,Mato Grosso do Sul
