order_id,product_id,seller_id,price,shipping_charges,sales
u6rPMRAYIGig,1slxdgbgWFax,3jwvL6ihC45G,24.1,20.9,45
ohY8f4FEbX19,77PgsiElQLeB,GlLj704QXlDB,42.89,12.28,55.17
I28liQek73i2,QVlD26X1y7NI,V3iKL8r9W9NR,50.21,67.11,117.32
bBG1T89mlY8W,yWlFGkKYfrpa,RNBdBKsXebna,89.1,62.05,151.15
CYxJJSQS8Lbo,h6MCbrwh5kiC,5Ja2lH0N2OZt,2139.99,9.41,2149.4
kUkQCFPtDvrC,CApN1zdCu8Ad,smK689qrlIx3,84.55,20.65,105.2
eV98svHRmPNG,HOJj2KbHY8er,9hrosJpQLxRs,23.95,23.87,47.82
b2tsoISX5lnP,bKrL5OryV9HU,SSiPMxP6t9t9,692,44.59,736.59
O0D3th8M88nF,7ba9znpcLheP,WTbhLip6Y9IF,649.75,39.88,689.63
yBTGlSf8GGMV,TLhoqYaQLJ5g,ynoKalx03eHF,518.18,2.46,520.64
OoHJ0WBqlxln,EG4wDSpFyTth,TuPm19CMKvrM,58.1,26.26,84.36
qvrK7ROfp1w6,hoFRvSkFE7Xv,2jTASjIU2rIf,420.07,30.66,450.73
uNUwbkr3jhfD,YLYPEDYgvdfH,3e9JGBdDRF6C,318.33,27.73,346.06
j4hiZpWSGa1T,XnVJHXWoT9t9,Q2NwKBfUdtHW,34,60.03,94.03
6J3ZtW3UMsR9,cDHQRx6Mr5x7,XLxN4hdOlYco,52,42.76,94.76
CKtqZeTFa6Ov,cKboTGrWp54z,OfafuCsnlLjb,509.99,56.8,566.79
e7xeH7PfGWFM,MUIEAN159RuU,kYHploWLdvqh,820.05,47.55,867.6
y7ICBanZzdHp,W5lSpNbHbIjE,fsdM6QZEnGMM,692,46.76,738.76
bZFqy2PEMhhc,claM69kKTNfa,EZZCNVOVjDlq,74.89,131.63,206.52
ub5scd3uMflH,aUvBxYvPYgvN,l1pYW6GBnPMr,820,47.55,867.55
yAmRuBPWp1vO,ccg64CBDaXEK,y58cZren4xNt,40.95,25.09,66.04
srKcniC9yOFm,C0fYrgNXAm4X,YerZo8Vsdkga,100,25.87,125.87
2Jbr1MhEmkIs,hBVeRiNmH8jL,q1Q2n7nr6h9B,333.5,25.28,358.78
Tb14VgvCwPuw,8IhgV2nH9kXE,HaUIinFOemaU,91.33,42.88,134.21
KKm2sesYGRq8,F7VM3KqshbPZ,j6ZQXHPSPppN,509.99,31.33,541.32
dwJNR7yxYRLb,rfAfXKCzKmqX,3KuTukGXgD7C,518.18,6.87,525.05
86uPyTFO0VnJ,fBYJ0RAV9NzF,7Qp1NwfnM8I2,107.63,52.93,160.56
KOTqFLF3sprZ,mHI4NBBHLa3q,dHUHvmn8Gewy,820.05,239.14,1059.19
RQi6usDkH0z5,p9owG1LeMQyo,8nCo4Zb12mDs,71.25,8.37,79.62
lRPOThT61ZfO,q1g2MXdXLhY1,RKad98cTxhSb,53.99,50.28,104.27
25pQorIsT9XG,dUoMatEvc2jC,xTzRihyf4Cu3,22.97,38.66,61.63
CA0KeXrOx4Va,EtByr6hYFH77,tNJnfkCxzhmN,117.56,26.52,144.08
KnUNh8bnaKd9,74QWytNFaRdz,coi9xkdo66JI,100,29.66,129.66
